source_column,feature_name,type,description,exemple,relevant_roles,inverted,feat_col,z_col
highClaims,high_claims_p90,vol,"Captages hauts réussis — le gardien sort aériennement pour attraper ou dégager un centre ou corner en hauteur, en challengeant avec des attaquants adverses. Réussi = le gardien capture ou dégage proprement sans laisser la balle traîner.","Alisson sort sur un corner, capte le ballon devant Lukaku qui challengeait = 1 high claim réussi. Alisson sort, perd le duel et le ballon traîne = 0 high claim réussi",GK,False,feat_high_claims_p90,z_high_claims_p90
runsOut,runs_out_p90,vol,"Sorties physiques du gardien HORS de sa surface de réparation pour intervenir sur le ballon — couper une passe longue, contrer un dribbleur en un-contre-un, dégager un ballon avant l'attaquant. Le gardien doit franchir la ligne des 18m.",Neuer sort à 30m de son but pour couper un ballon dans le dos de Boateng = 1 runOut. Neuer sort à la limite de sa surface = 0 runOut,GK,False,feat_runs_out_p90,z_runs_out_p90
successfulRunsOut,runs_out_suc_p90,vol,Sous-ensemble des sorties (runsOut) réussies — le gardien récupère proprement le ballon ou le dégage sans laisser de rebond dangereux. Indicateur de précision dans les sorties hors surface.,"Neuer sort à 25m et capte le ballon proprement = 1 successful runOut. Neuer sort, rate le ballon, attaquant passe à côté = runOut non réussi",GK,False,feat_runs_out_suc_p90,z_runs_out_suc_p90
runs_out_pct,runs_out_pct,pct,"Sorties hors surface réussies / sorties tentées. runsOut = gardien franchit la ligne des 18m pour intervenir sur le ballon. successfulRunsOut = parmi ces sorties, celles où il obtient le ballon.","Neuer : 18 runsOut, 16 successfulRunsOut → runs_out_pct = 88.9%",GK,False,feat_runs_out_pct,z_runs_out_pct
punches,punches_p90,vol,Dégagements au poing — action du gardien qui repousse le ballon du poing plutôt que de le capter. Souvent utilisé sur les centres difficiles à contrôler en conditions de pression.,Lloris ne peut pas capter un corner tendu et repousse du poing = 1 punch,GK,False,feat_punches_p90,z_punches_p90
savedShotsFromInsideBox,saves_inside_p90,vol,Arrêts sur tirs depuis l'intérieur de la surface de réparation. Ancienne nomenclature API (= savedShotsFromInsideTheBox dans les données actuelles).,Alisson arrête une frappe à bout portant = 1 savedShotFromInsideBox,GK,False,feat_saves_inside_p90,z_saves_inside_p90
savedShotsFromOutsideBox,saves_outside_p90,vol,Arrêts sur tirs depuis l'extérieur de la surface. Ancienne nomenclature API (= savedShotsFromOutsideTheBox dans les données actuelles).,Alisson arrête une frappe de 25m = 1 savedShotFromOutsideBox,GK,False,feat_saves_outside_p90,z_saves_outside_p90
accurateLongBallsPercentage,gk_long_balls_pct,pct,% longues passes réussies du gardien — passes longues réussies / tentées. Indicateur clé du gardien relanceur ou sweeper keeper qui participe à la construction.,"Ederson joue 8 longues passes, 6 arrivent à un coéquipier = 75% gk_long_balls_pct",GK,False,feat_gk_long_balls_pct,z_gk_long_balls_pct
ppda,ppda_team,raw,"Passes Per Defensive Action — nombre de passes que l'équipe adverse réalise pour chaque action défensive (tacle, interception, faute) effectuée par l'équipe en phase de pressing. Bas = pressing intense. Haut = bloc bas, peu de pressing haut.","Manchester City 2023 : ppda≈5.2 (pressing très intense, 1 action défensive toutes les 5 passes adverses). Leicester défensif : ppda≈14 (bloc bas, 1 action toutes les 14 passes)",ALL,False,feat_ppda_team,z_ppda_team
oppda,oppda_team,raw,OPPDA (Opposing PPDA) — PPDA de l'équipe adverse subi par l'équipe du joueur. Mesure l'intensité du pressing adverse. Bas = l'équipe est soumise à un pressing intense de ses adversaires.,Équipe qui joue contre des équipes peu agressives : oppda élevé. Équipe soumise à un pressing intense : oppda bas,ALL,False,feat_oppda_team,z_oppda_team
deep,deep_passes_team,raw,Nombre de passes complétées dans les 40 derniers mètres du terrain adverse par match. Mesure la profondeur des phases offensives — une équipe avec un 'deep' élevé pénètre régulièrement dans la zone dangereuse par la passe.,Équipe dominant possession : deep≈12-15. Équipe en contre : deep≈5-7,ALL,False,feat_deep_passes_team,z_deep_passes_team
odc,odc_team,raw,Passes profondes concédées par match (dans les 40 derniers mètres du terrain propre). Mesure l'exposition défensive de l'équipe dans les zones dangereuses. Contexte pour interpréter les stats défensives individuelles.,Équipe exposée défensivement : odc élevé. Équipe en bloc bas compact : odc faible,ALL,False,feat_odc_team,z_odc_team
xp,xp_team,raw,"Différence entre les points réels obtenus et les expected points (xPts) calculés sur la base des xG créés et concédés par match. Positif = équipe qui surperforme ses xG (chance, gardien excellent). Négatif = sous-performe.",Liverpool xpts_diff=+6 : a obtenu 6 points de plus que ses xG ne le prédisaient → chance ou très bon gardien. Chelsea xpts_diff=-8 → sous-performance finition,ALL,False,feat_xp_team,z_xp_team
xg,xg_team,raw,xG total de l'équipe sur la saison — mesure la qualité offensive de l'équipe indépendamment des résultats. Contexte pour interpréter les stats offensives individuelles.,Man City : xG équipe=85/saison (excellente création offensive). Équipe de bas de tableau : xG≈35-45,ALL,False,feat_xg_team,z_xg_team
xg_against,xga_team,raw,"xGA total de l'équipe sur la saison — xGoals concédés. Contexte défensif de l'équipe du joueur. Faible xGA = défense solide, évalue mieux la contribution défensive individuelle.",Man City : xGA≈32/saison (défense hermétique). Équipe exposée : xGA≈60-70,ALL,False,feat_xga_team,z_xga_team
age_tm,age,raw,Âge du joueur au moment du scraping Transfermarkt. Donnée statique issue du profil officiel TM. Contexte pour pondérer la valeur marchande et anticiper l'évolution de carrière.,Bellingham : 21 ans (prime value). Van Dijk : 33 ans (décote âge malgré niveau maintenu),ALL,False,feat_age,z_age
height,height_cm,raw,"Taille en cm déclarée sur le profil officiel Transfermarkt du joueur. Donnée statique, issue des fiches officielles clubs / fédérations.",Virgil van Dijk : 193cm. Thibaut Courtois : 199cm. Seuil 'tour de contrôle' CB : ≥188cm,CB|CF|GK,False,feat_height_cm,z_height_cm
market_value,market_value,raw,"Estimation de la valeur marchande actuelle du joueur par la communauté Transfermarkt, mise à jour périodiquement. Basée sur l'âge, les performances, le contrat restant, l'inflation du marché. N'est pas une valeur contractuelle — c'est une estimation de ce qu'un club paierait.","Bellingham évalué 200M€ = estimation TM communauté, pas valeur contractuelle. Kane à 30 ans : 80M€ vs 150M€ à 27 ans (décote âge)",ALL,False,feat_market_value,z_market_value
